CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALLS LOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
10:45:53 CT 05 Feb 2021,46,0.3270,0.3000,0.2612,+0.0388,0.3000,11:01:47 CT 05 Feb 2021,944,0.0630,0.0560,0.0762,-0.0152,0.0610,2750.0,2021-03-01
10:34:46 CT 05 Feb 2021,77,0.3710,0.3710,0.2941,+0.0769,0.3710,11:26:57 CT 05 Feb 2021,431,0.0540,0.0420,0.0591,-0.0111,0.0480,2700.0,2021-03-01
08:49:14 CT 05 Feb 2021,28,0,0,0.3298,0,0,11:07:06 CT 05 Feb 2021,"1,081",0.0470,0.0320,0.0448,+0.0022,0.0470,2650.0,2021-03-01
11:08:30 CT 05 Feb 2021,2,0.3500,0.3500,0.3449,+0.0051,0.3500,09:41:36 CT 05 Feb 2021,6,0.0330,0.0170,0.0399,-0.0069,0.0330,2630.0,2021-03-01
10:24:22 CT 05 Feb 2021,35,0.4200,0.4200,0.3683,+0.0517,0.4200,11:36:14 CT 05 Feb 2021,"3,334",0.0330,0.0220,0.0333,-0.0053,0.0280,2600.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.4266,0,0,11:26:57 CT 05 Feb 2021,5,0.0260,0.0260,0.0216,+0.0044,0.0260,2530.0,2021-03-01
11:18:01 CT 05 Feb 2021,62,0.2460,0.1960,0.1791,+0.0169,0.1960,11:06:11 CT 05 Feb 2021,85,0.1460,0.1100,0.1441,+0.0019,0.1460,2900.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.4441,0,0,09:29:30 CT 05 Feb 2021,2,0.0180,0.0180,0.0191,-0.0011,0.0180,2510.0,2021-03-01
10:59:07 CT 05 Feb 2021,63,0.0900,0.0660,0.0473,+0.0187,0.0660,08:23:03 CT 05 Feb 2021,0,0,0,0.4623,0,0,3350.0,2021-03-01
11:10:25 CT 05 Feb 2021,62,0.0660,0.0520,0.0344,+0.0176,0.0520,08:23:02 CT 05 Feb 2021,0,0,0,0.5494,0,0,3450.0,2021-03-01
11:08:18 CT 05 Feb 2021,46,0.0080,0.0070,0.0042,+0.0038,0.0080,08:23:03 CT 05 Feb 2021,0,0,0,1.6192,0,0,4550.0,2021-03-01
09:53:11 CT 05 Feb 2021,192,0.0100,0.0080,0.0045,+0.0035,0.0080,18:04:06 CT 04 Feb 2021,0,0,0,1.9434,0,0,4500.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0048,0,0,18:05:33 CT 04 Feb 2021,0,0,0,1.8935,0,0,4450.0,2021-03-01
08:47:17 CT 05 Feb 2021,15,0.0110,0.0100,0.0051,+0.0049,0.0100,18:03:44 CT 04 Feb 2021,0,0,0,1.8435,0,0,4400.0,2021-03-01
11:38:10 CT 05 Feb 2021,5,0.0090,0.0090,0.0054,+0.0036,0.0090,18:05:44 CT 04 Feb 2021,0,0,0,1.7936,0,0,4350.0,2021-03-01
08:34:39 CT 05 Feb 2021,2,0.0110,0.0110,0.0058,+0.0052,0.0110,18:05:09 CT 04 Feb 2021,0,0,0,1.7437,0,0,4300.0,2021-03-01
10:24:23 CT 05 Feb 2021,64,0.0130,0.0120,0.0062,+0.0058,0.0120,18:04:41 CT 04 Feb 2021,0,0,0,1.6937,0,0,4250.0,2021-03-01
10:11:33 CT 05 Feb 2021,7,0.0140,0.0110,0.0066,+0.0044,0.0110,18:05:40 CT 04 Feb 2021,0,0,0,1.6438,0,0,4200.0,2021-03-01
10:21:52 CT 05 Feb 2021,20,0.0150,0.0110,0.0071,+0.0049,0.0120,18:05:53 CT 04 Feb 2021,0,0,0,1.5939,0,0,4150.0,2021-03-01
08:23:03 CT 05 Feb 2021,3,0.0170,0.0160,0.0077,+0.0083,0.0160,08:23:03 CT 05 Feb 2021,0,0,0,1.1727,0,0,4100.0,2021-03-01
10:05:01 CT 05 Feb 2021,1,0.0130,0.0130,0.0083,+0.0047,0.0130,18:04:54 CT 04 Feb 2021,0,0,0,1.4940,0,0,4050.0,2021-03-01
11:11:42 CT 05 Feb 2021,402,0.0750,0.0520,0.0403,+0.0117,0.0520,18:06:02 CT 04 Feb 2021,0,0,0,0.8488,0,0,3400.0,2021-03-01
11:38:34 CT 05 Feb 2021,"3,579",0.0210,0.0130,0.0090,+0.0070,0.0160,08:23:03 CT 05 Feb 2021,0,0,0,1.0740,0,0,4000.0,2021-03-01
11:06:53 CT 05 Feb 2021,"2,586",0.0230,0.0170,0.0108,+0.0062,0.0170,18:04:12 CT 04 Feb 2021,0,0,0,1.3444,0,0,3900.0,2021-03-01
08:23:03 CT 05 Feb 2021,4,0.0250,0.0250,0.0120,+0.0130,0.0250,18:05:47 CT 04 Feb 2021,0,0,0,1.2946,0,0,3850.0,2021-03-01
11:06:53 CT 05 Feb 2021,760,0.0300,0.0190,0.0135,+0.0105,0.0240,18:04:23 CT 04 Feb 2021,0,0,0,1.2448,0,0,3800.0,2021-03-01
11:35:51 CT 05 Feb 2021,"2,893",0.0330,0.0230,0.0152,+0.0108,0.0260,18:04:25 CT 04 Feb 2021,0,0,0,1.1951,0,0,3750.0,2021-03-01
09:04:41 CT 05 Feb 2021,15,0.0370,0.0330,0.0171,+0.0179,0.0350,18:04:07 CT 04 Feb 2021,0,0,0,1.1454,0,0,3700.0,2021-03-01
11:11:31 CT 05 Feb 2021,4,0.0390,0.0270,0.0185,+0.0085,0.0270,18:04:34 CT 04 Feb 2021,0,0,0,1.1156,0,0,3670.0,2021-03-01
11:11:31 CT 05 Feb 2021,30,0.0400,0.0270,0.0195,+0.0085,0.0280,08:23:03 CT 05 Feb 2021,0,0,0,0.7344,0,0,3650.0,2021-03-01
08:32:20 CT 05 Feb 2021,26,0.0440,0.0440,0.0222,+0.0218,0.0440,18:05:13 CT 04 Feb 2021,0,0,0,1.0462,0,0,3600.0,2021-03-01
08:23:02 CT 05 Feb 2021,7,0.0510,0.0500,0.0256,+0.0244,0.0500,08:23:02 CT 05 Feb 2021,0,0,0,0.6406,0,0,3550.0,2021-03-01
11:30:30 CT 05 Feb 2021,"5,701",0.0600,0.0380,0.0296,+0.0104,0.0400,08:23:03 CT 05 Feb 2021,26,0,0,0.5946,0,0,3500.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0314,0,0,18:04:05 CT 04 Feb 2021,0,0,0,0.9275,0,0,3480.0,2021-03-01
09:52:24 CT 05 Feb 2021,26,0.0190,0.0140,0.0099,+0.0061,0.0160,18:05:53 CT 04 Feb 2021,0,0,0,1.3943,0,0,3950.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.4529,0,0,11:36:14 CT 05 Feb 2021,"3,485",0.0200,0.0070,0.0179,+0.0021,0.0200,2500.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.4889,0,0,08:23:02 CT 05 Feb 2021,3,0.0140,0.0130,0.0139,-0.0009,0.0130,2460.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.4980,0,0,08:56:29 CT 05 Feb 2021,133,0.0110,0.0110,0.0131,-0.0021,0.0110,2450.0,2021-03-01
18:05:13 CT 04 Feb 2021,0,0,0,1.4070,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1150.0,2021-03-01
18:05:13 CT 04 Feb 2021,0,0,0,1.4570,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1100.0,2021-03-01
18:05:34 CT 04 Feb 2021,0,0,0,1.5070,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1050.0,2021-03-01
18:04:32 CT 04 Feb 2021,0,0,0,1.5570,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1000.0,2021-03-01
18:05:36 CT 04 Feb 2021,0,0,0,1.6070,0,0,18:05:45 CT 04 Feb 2021,0,0,0,0.0001,0,0,950.0,2021-03-01
18:05:30 CT 04 Feb 2021,0,0,0,1.6570,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,900.0,2021-03-01
18:04:58 CT 04 Feb 2021,0,0,0,1.7070,0,0,18:05:00 CT 04 Feb 2021,0,0,0,0.0001,0,0,850.0,2021-03-01
18:05:28 CT 04 Feb 2021,0,0,0,1.7570,0,0,18:05:44 CT 04 Feb 2021,0,0,0,0.0001,0,0,800.0,2021-03-01
18:04:17 CT 04 Feb 2021,0,0,0,1.8070,0,0,18:04:12 CT 04 Feb 2021,0,0,0,0.0001,0,0,750.0,2021-03-01
18:04:45 CT 04 Feb 2021,0,0,0,1.8570,0,0,18:05:45 CT 04 Feb 2021,0,0,0,0.0001,0,0,700.0,2021-03-01
18:04:40 CT 04 Feb 2021,0,0,0,1.9070,0,0,18:06:10 CT 04 Feb 2021,0,0,0,0.0001,0,0,650.0,2021-03-01
18:03:55 CT 04 Feb 2021,0,0,0,1.3570,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1200.0,2021-03-01
18:05:57 CT 04 Feb 2021,0,0,0,1.9570,0,0,18:05:18 CT 04 Feb 2021,0,0,0,0.0001,0,0,600.0,2021-03-01
18:04:54 CT 04 Feb 2021,0,0,0,2.0570,0,0,18:04:08 CT 04 Feb 2021,0,0,0,0.0001,0,0,500.0,2021-03-01
18:05:11 CT 04 Feb 2021,0,0,0,2.1070,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,450.0,2021-03-01
18:05:11 CT 04 Feb 2021,0,0,0,2.1570,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,400.0,2021-03-01
18:05:11 CT 04 Feb 2021,0,0,0,2.2070,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,350.0,2021-03-01
18:05:12 CT 04 Feb 2021,0,0,0,2.2570,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,300.0,2021-03-01
18:06:00 CT 04 Feb 2021,0,0,0,2.3070,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,250.0,2021-03-01
18:04:01 CT 04 Feb 2021,0,0,0,2.3570,0,0,18:03:46 CT 04 Feb 2021,0,0,0,0.0001,0,0,200.0,2021-03-01
18:04:11 CT 04 Feb 2021,0,0,0,2.4070,0,0,18:05:11 CT 04 Feb 2021,0,0,0,0.0001,0,0,150.0,2021-03-01
18:05:11 CT 04 Feb 2021,0,0,0,2.4570,0,0,18:05:53 CT 04 Feb 2021,0,0,0,0.0001,0,0,100.0,2021-03-01
18:05:09 CT 04 Feb 2021,0,0,0,2.5070,0,0,18:04:38 CT 04 Feb 2021,0,0,0,0.0001,0,0,50.0,2021-03-01
18:04:10 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:03:50 CT 04 Feb 2021,0,0,0,15.6930,0,0,18250.0,2021-03-01
18:05:44 CT 04 Feb 2021,0,0,0,2.0070,0,0,18:06:10 CT 04 Feb 2021,0,0,0,0.0001,0,0,550.0,2021-03-01
18:04:58 CT 04 Feb 2021,0,0,0,1.3070,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1250.0,2021-03-01
18:05:11 CT 04 Feb 2021,0,0,0,1.2571,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1300.0,2021-03-01
18:04:27 CT 04 Feb 2021,0,0,0,1.2071,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1350.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.5259,0,0,08:23:02 CT 05 Feb 2021,2,0.0080,0.0080,0.0109,-0.0029,0.0080,2420.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.5448,0,0,10:39:15 CT 05 Feb 2021,"4,151",0.0100,0.0070,0.0098,+0.0002,0.0100,2400.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.5926,0,0,09:43:33 CT 05 Feb 2021,31,0.0040,0.0030,0.0076,-0.0046,0.0030,2350.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6023,0,0,08:26:12 CT 05 Feb 2021,2,0.0050,0.0050,0.0073,-0.0023,0.0050,2340.0,2021-03-01
08:33:43 CT 05 Feb 2021,1,0.7350,0.7350,0.6410,+0.0940,0.7350,10:37:17 CT 05 Feb 2021,152,0.0060,0.0050,0.0060,-0.0010,0.0050,2300.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6800,0,0,08:58:32 CT 05 Feb 2021,4,0.0040,0.0010,0.0050,-0.0010,0.0040,2260.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.6897,0,0,11:21:43 CT 05 Feb 2021,"1,313",0.0040,0.0040,0.0047,-0.0007,0.0040,2250.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7387,0,0,09:23:26 CT 05 Feb 2021,"1,010",0.0030,0.0010,0.0037,-0.0007,0.0030,2200.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7879,0,0,08:33:40 CT 05 Feb 2021,18,0.0020,0.0020,0.0029,-0.0009,0.0020,2150.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.7977,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0027,0,0,2140.0,2021-03-01
18:05:29 CT 04 Feb 2021,0,0,0,0.4716,0,0,10:17:42 CT 05 Feb 2021,79,0.0020,0.0010,0.0022,-0.0002,0.0020,2100.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.8867,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0018,0,0,2050.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.9364,0,0,10:50:44 CT 05 Feb 2021,62,0.0010,0.0010,0.0014,-0.0004,0.0010,2000.0,2021-03-01
18:03:50 CT 04 Feb 2021,0,0,0,0.6139,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0011,0,0,1950.0,2021-03-01
18:03:45 CT 04 Feb 2021,0,0,0,0.6624,0,0,08:23:02 CT 05 Feb 2021,6,0.0010,0.0010,0.0008,+0.0002,0.0010,1900.0,2021-03-01
18:04:54 CT 04 Feb 2021,0,0,0,0.7111,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0006,0,0,1850.0,2021-03-01
18:04:58 CT 04 Feb 2021,0,0,0,0.7602,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0004,0,0,1800.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,1.1852,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0003,0,0,1750.0,2021-03-01
18:04:16 CT 04 Feb 2021,0,0,0,0.8589,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0002,0,0,1700.0,2021-03-01
18:05:51 CT 04 Feb 2021,0,0,0,0.9083,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1650.0,2021-03-01
18:04:09 CT 04 Feb 2021,0,0,0,0.9580,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1600.0,2021-03-01
18:05:10 CT 04 Feb 2021,0,0,0,1.0078,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1550.0,2021-03-01
18:04:07 CT 04 Feb 2021,0,0,0,1.0576,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1500.0,2021-03-01
18:04:01 CT 04 Feb 2021,0,0,0,1.1074,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1450.0,2021-03-01
18:06:05 CT 04 Feb 2021,0,0,0,1.1572,0,0,08:23:02 CT 05 Feb 2021,0,0,0,0.0001,0,0,1400.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0040,0,0,08:23:03 CT 05 Feb 2021,0,0,0,1.6690,0,0,4600.0,2021-03-01
11:06:53 CT 05 Feb 2021,29,0.0070,0.0070,0.0038,+0.0032,0.0070,18:06:01 CT 04 Feb 2021,0,0,0,2.0933,0,0,4650.0,2021-03-01
08:23:02 CT 05 Feb 2021,0,0,0,0.4095,0,0,09:43:33 CT 05 Feb 2021,63,0.0220,0.0200,0.0245,-0.0045,0.0200,2550.0,2021-03-01
11:06:53 CT 05 Feb 2021,697,0,0,0.0033,0,0,18:05:59 CT 04 Feb 2021,0,0,0,2.1933,0,0,4750.0,2021-03-01
18:04:33 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:10 CT 04 Feb 2021,0,0,0,8.1930,0,0,10750.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:50 CT 04 Feb 2021,0,0,0,7.9430,0,0,10500.0,2021-03-01
18:03:58 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:51 CT 04 Feb 2021,0,0,0,7.6930,0,0,10250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:24 CT 04 Feb 2021,0,0,0,7.4430,0,0,10000.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:06:07 CT 04 Feb 2021,0,0,0,7.1930,0,0,9750.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:15 CT 04 Feb 2021,0,0,0,6.9430,0,0,9500.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:46 CT 04 Feb 2021,0,0,0,6.6930,0,0,9250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:53 CT 04 Feb 2021,0,0,0,6.4430,0,0,9000.0,2021-03-01
18:06:09 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:12 CT 04 Feb 2021,0,0,0,6.1930,0,0,8750.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:03:47 CT 04 Feb 2021,0,0,0,5.9430,0,0,8500.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:29 CT 04 Feb 2021,0,0,0,5.7430,0,0,8300.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:11 CT 04 Feb 2021,0,0,0,8.4430,0,0,11000.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:45 CT 04 Feb 2021,0,0,0,5.6930,0,0,8250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:18 CT 04 Feb 2021,0,0,0,5.5930,0,0,8150.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:06:05 CT 04 Feb 2021,0,0,0,5.5430,0,0,8100.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:03:50 CT 04 Feb 2021,0,0,0,5.4930,0,0,8050.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:06:06 CT 04 Feb 2021,0,0,0,5.4430,0,0,8000.0,2021-03-01
18:04:37 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:02 CT 04 Feb 2021,0,0,0,5.3930,0,0,7950.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:03:46 CT 04 Feb 2021,0,0,0,5.3430,0,0,7900.0,2021-03-01
18:05:48 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:45 CT 04 Feb 2021,0,0,0,5.2930,0,0,7850.0,2021-03-01
18:03:54 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:12 CT 04 Feb 2021,0,0,0,5.2430,0,0,7800.0,2021-03-01
18:05:01 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:12 CT 04 Feb 2021,0,0,0,5.1930,0,0,7750.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:54 CT 04 Feb 2021,0,0,0,5.1430,0,0,7700.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:00 CT 04 Feb 2021,0,0,0,5.0930,0,0,7650.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:06:12 CT 04 Feb 2021,0,0,0,5.6430,0,0,8200.0,2021-03-01
18:05:26 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:18 CT 04 Feb 2021,0,0,0,8.6930,0,0,11250.0,2021-03-01
18:04:24 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:26 CT 04 Feb 2021,0,0,0,8.9430,0,0,11500.0,2021-03-01
18:04:33 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:08 CT 04 Feb 2021,0,0,0,9.1930,0,0,11750.0,2021-03-01
18:05:09 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:20 CT 04 Feb 2021,0,0,0,15.4430,0,0,18000.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0035,0,0,18:05:11 CT 04 Feb 2021,0,0,0,2.1433,0,0,4700.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:03:44 CT 04 Feb 2021,0,0,0,14.9430,0,0,17500.0,2021-03-01
18:06:12 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:01 CT 04 Feb 2021,0,0,0,14.6930,0,0,17250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:25 CT 04 Feb 2021,0,0,0,14.4430,0,0,17000.0,2021-03-01
18:04:18 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:13 CT 04 Feb 2021,0,0,0,14.1930,0,0,16750.0,2021-03-01
18:05:41 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:39 CT 04 Feb 2021,0,0,0,13.9430,0,0,16500.0,2021-03-01
18:04:05 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:48 CT 04 Feb 2021,0,0,0,13.6930,0,0,16250.0,2021-03-01
18:04:08 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:42 CT 04 Feb 2021,0,0,0,13.4430,0,0,16000.0,2021-03-01
18:06:01 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:30 CT 04 Feb 2021,0,0,0,13.1930,0,0,15750.0,2021-03-01
18:04:31 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:03:52 CT 04 Feb 2021,0,0,0,12.9430,0,0,15500.0,2021-03-01
18:04:29 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:44 CT 04 Feb 2021,0,0,0,12.6930,0,0,15250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:46 CT 04 Feb 2021,0,0,0,12.4430,0,0,15000.0,2021-03-01
18:05:37 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:50 CT 04 Feb 2021,0,0,0,12.1930,0,0,14750.0,2021-03-01
18:03:58 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:19 CT 04 Feb 2021,0,0,0,11.9430,0,0,14500.0,2021-03-01
18:05:22 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:05:45 CT 04 Feb 2021,0,0,0,11.6930,0,0,14250.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:04:05 CT 04 Feb 2021,0,0,0,11.4430,0,0,14000.0,2021-03-01
18:04:02 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:06:13 CT 04 Feb 2021,0,0,0,11.1930,0,0,13750.0,2021-03-01
18:05:14 CT 04 Feb 2021,0,0,0,0.0001,0,0,18:04:03 CT 04 Feb 2021,0,0,0,10.9430,0,0,13500.0,2021-03-01
08:23:03 CT 05 Feb 2021,0,0,0,0.0001,0,0,18:05:09 CT 04 Feb 2021,0,0,0,10.6930,0,0,13250.0,2021-03-01
