CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALL SLOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
08:20:17 CT 03 Feb 2021,0,-,-,0.3674,-,-,-,-,0.0794,-,-,0,08:20:17 CT 03 Feb 2021,2530.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.3814,-,-,-,-,0.0734,-,-,0,08:20:17 CT 03 Feb 2021,2510.0,2021-05-01
08:20:17 CT 03 Feb 2021,1,0.1750,0.1750,0.1791,-0.0041,0.1750,-,-,0.3526,-,-,0,18:29:45 CT 02 Feb 2021,2870.0,2021-05-01
13:31:55 CT 03 Feb 2021,"2,820",0.0550,0.0460,0.0651,-0.0191,0.0460,-,-,0.6828,-,-,0,18:30:38 CT 02 Feb 2021,3250.0,2021-05-01
13:22:53 CT 03 Feb 2021,14,-,-,0.0224,-,-,-,-,1.071,-,-,0,18:29:19 CT 02 Feb 2021,3650.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0535,-,-,-,-,0.7493,-,-,0,18:31:23 CT 02 Feb 2021,3320.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0055,-,-,-,-,1.8167,-,-,0,18:30:54 CT 02 Feb 2021,4400.0,2021-05-01
13:27:41 CT 03 Feb 2021,9,-,-,0.0018,-,-,-,-,1.7668,-,-,0,18:30:15 CT 02 Feb 2021,4350.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0063,-,-,-,-,1.7169,-,-,0,18:31:20 CT 02 Feb 2021,4300.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.0068,-,-,-,-,1.667,-,-,0,18:29:33 CT 02 Feb 2021,4250.0,2021-05-01
10:49:14 CT 03 Feb 2021,20,0.0050,0.0050,0.0073,-0.0023,0.0050,-,-,1.6172,-,-,0,18:30:54 CT 02 Feb 2021,4200.0,2021-05-01
09:22:13 CT 03 Feb 2021,20,0.0040,0.0040,0.0079,-0.0039,0.0040,-,-,1.5674,-,-,0,18:29:49 CT 02 Feb 2021,4150.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0085,-,-,-,-,1.5176,-,-,0,18:30:54 CT 02 Feb 2021,4100.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0093,-,-,-,-,1.4677,-,-,0,18:30:54 CT 02 Feb 2021,4050.0,2021-05-01
13:25:30 CT 03 Feb 2021,319,0.0080,0.0060,0.0102,-0.0022,0.0080,-,-,1.418,-,-,0,18:31:28 CT 02 Feb 2021,4000.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.0112,-,-,-,-,1.3683,-,-,0,18:30:39 CT 02 Feb 2021,3950.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.0124,-,-,-,-,1.3186,-,-,0,18:30:54 CT 02 Feb 2021,3900.0,2021-05-01
13:21:36 CT 03 Feb 2021,127,0.0430,0.0360,0.0565,-0.0205,0.0360,-,-,0.7303,-,-,0,18:29:14 CT 02 Feb 2021,3300.0,2021-05-01
11:50:30 CT 03 Feb 2021,2,0.0100,0.0100,0.0138,-0.0038,0.0100,-,-,1.2689,-,-,0,18:30:54 CT 02 Feb 2021,3850.0,2021-05-01
10:05:13 CT 03 Feb 2021,11,0.0100,0.0100,0.0175,-0.0075,0.0100,-,-,1.1699,-,-,0,18:29:46 CT 02 Feb 2021,3750.0,2021-05-01
12:56:49 CT 03 Feb 2021,454,0.0130,0.0110,0.0197,-0.0087,0.0110,-,-,1.1204,-,-,0,18:31:12 CT 02 Feb 2021,3700.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0213,-,-,-,-,1.0908,-,-,0,18:29:55 CT 02 Feb 2021,3670.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.3885,-,-,-,-,0.0706,-,-,463,13:21:27 CT 03 Feb 2021,2500.0,2021-05-01
09:36:59 CT 03 Feb 2021,20,-,-,0.0254,-,-,-,-,1.0218,-,-,0,18:29:40 CT 02 Feb 2021,3600.0,2021-05-01
09:09:18 CT 03 Feb 2021,205,-,-,0.0289,-,-,-,-,0.9727,-,-,0,18:30:09 CT 02 Feb 2021,3550.0,2021-05-01
13:05:05 CT 03 Feb 2021,745,0.0240,0.0220,0.033,-0.0110,0.0220,-,-,0.9237,-,-,0,18:31:36 CT 02 Feb 2021,3500.0,2021-05-01
10:40:12 CT 03 Feb 2021,1,-,-,0.0348,-,-,-,-,0.9041,-,-,0,18:29:26 CT 02 Feb 2021,3480.0,2021-05-01
09:36:59 CT 03 Feb 2021,22,-,-,0.0378,-,-,-,-,0.8749,-,-,0,18:31:12 CT 02 Feb 2021,3450.0,2021-05-01
11:42:59 CT 03 Feb 2021,174,0.0300,0.0250,0.0432,-0.0182,0.0250,-,-,0.8263,-,-,0,18:30:18 CT 02 Feb 2021,3400.0,2021-05-01
12:28:49 CT 03 Feb 2021,236,0.0420,0.0420,0.0493,-0.0073,0.0420,-,-,0.7781,-,-,0,18:31:01 CT 02 Feb 2021,3350.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0155,-,-,-,-,1.2194,-,-,0,18:30:54 CT 02 Feb 2021,3800.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.4177,-,-,-,-,0.0598,-,-,3,10:40:39 CT 03 Feb 2021,2460.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.6811,-,-,0.0100,-0.0031,0.0131,0.0100,0.0120,253,13:23:29 CT 03 Feb 2021,2150.0,2021-05-01
18:29:55 CT 02 Feb 2021,0,-,-,0.2617,-,-,-,-,0.0502,-,-,22,10:48:59 CT 03 Feb 2021,2420.0,2021-05-01
18:30:54 CT 02 Feb 2021,0,-,-,1.4353,-,-,-,-,0.0001,-,-,0,08:20:17 CT 03 Feb 2021,1150.0,2021-05-01
18:29:34 CT 02 Feb 2021,0,-,-,1.4852,-,-,-,-,0.0001,-,-,0,08:20:17 CT 03 Feb 2021,1100.0,2021-05-01
18:29:11 CT 02 Feb 2021,0,-,-,1.5351,-,-,-,-,0.0001,-,-,0,18:30:32 CT 02 Feb 2021,1050.0,2021-05-01
18:29:43 CT 02 Feb 2021,0,-,-,1.585,-,-,-,-,0.0001,-,-,0,18:30:33 CT 02 Feb 2021,1000.0,2021-05-01
18:29:32 CT 02 Feb 2021,0,-,-,1.635,-,-,-,-,0.0001,-,-,0,18:30:54 CT 02 Feb 2021,950.0,2021-05-01
18:30:02 CT 02 Feb 2021,0,-,-,1.685,-,-,-,-,0.0001,-,-,0,18:30:33 CT 02 Feb 2021,900.0,2021-05-01
18:30:10 CT 02 Feb 2021,0,-,-,1.735,-,-,-,-,0.0001,-,-,0,18:30:44 CT 02 Feb 2021,850.0,2021-05-01
18:30:56 CT 02 Feb 2021,0,-,-,1.785,-,-,-,-,0.0001,-,-,0,18:29:24 CT 02 Feb 2021,800.0,2021-05-01
18:29:11 CT 02 Feb 2021,0,-,-,1.835,-,-,-,-,0.0001,-,-,0,18:31:12 CT 02 Feb 2021,750.0,2021-05-01
18:29:35 CT 02 Feb 2021,0,-,-,1.885,-,-,-,-,0.0001,-,-,0,18:30:00 CT 02 Feb 2021,700.0,2021-05-01
18:29:48 CT 02 Feb 2021,0,-,-,1.935,-,-,-,-,0.0001,-,-,0,18:30:01 CT 02 Feb 2021,650.0,2021-05-01
18:30:22 CT 02 Feb 2021,0,-,-,1.985,-,-,-,-,0.0001,-,-,0,18:30:30 CT 02 Feb 2021,600.0,2021-05-01
18:31:17 CT 02 Feb 2021,0,-,-,2.035,-,-,-,-,0.0001,-,-,0,18:29:16 CT 02 Feb 2021,550.0,2021-05-01
18:30:32 CT 02 Feb 2021,0,-,-,2.085,-,-,-,-,0.0001,-,-,0,18:31:31 CT 02 Feb 2021,500.0,2021-05-01
18:30:52 CT 02 Feb 2021,0,-,-,2.135,-,-,-,-,0.0001,-,-,0,18:30:32 CT 02 Feb 2021,450.0,2021-05-01
18:30:19 CT 02 Feb 2021,0,-,-,2.185,-,-,-,-,0.0001,-,-,0,18:30:31 CT 02 Feb 2021,400.0,2021-05-01
18:29:25 CT 02 Feb 2021,0,-,-,2.235,-,-,-,-,0.0001,-,-,0,18:31:06 CT 02 Feb 2021,350.0,2021-05-01
18:30:32 CT 02 Feb 2021,0,-,-,2.285,-,-,-,-,0.0001,-,-,0,18:30:28 CT 02 Feb 2021,300.0,2021-05-01
18:30:32 CT 02 Feb 2021,0,-,-,2.335,-,-,-,-,0.0001,-,-,0,18:30:28 CT 02 Feb 2021,250.0,2021-05-01
18:30:32 CT 02 Feb 2021,0,-,-,2.385,-,-,-,-,0.0001,-,-,0,18:30:31 CT 02 Feb 2021,200.0,2021-05-01
18:29:41 CT 02 Feb 2021,0,-,-,2.435,-,-,-,-,0.0001,-,-,0,18:30:38 CT 02 Feb 2021,150.0,2021-05-01
18:30:32 CT 02 Feb 2021,0,-,-,2.485,-,-,-,-,0.0001,-,-,0,18:31:22 CT 02 Feb 2021,100.0,2021-05-01
18:30:38 CT 02 Feb 2021,0,-,-,2.535,-,-,-,-,0.0001,-,-,0,18:30:32 CT 02 Feb 2021,50.0,2021-05-01
18:31:12 CT 02 Feb 2021,0,-,-,1.3854,-,-,-,-,0.0004,-,-,0,18:30:31 CT 02 Feb 2021,1200.0,2021-05-01
18:30:18 CT 02 Feb 2021,0,-,-,1.3356,-,-,-,-,0.0006,-,-,0,18:31:33 CT 02 Feb 2021,1250.0,2021-05-01
18:29:53 CT 02 Feb 2021,0,-,-,1.2858,-,-,-,-,0.0008,-,-,0,18:29:13 CT 02 Feb 2021,1300.0,2021-05-01
18:29:34 CT 02 Feb 2021,0,-,-,1.2361,-,-,-,-,0.0011,-,-,0,18:30:56 CT 02 Feb 2021,1350.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.4638,-,-,0.0430,-0.0028,0.0458,0.0410,0.0470,83,13:52:57 CT 03 Feb 2021,2400.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.5041,-,-,0.0310,-0.0052,0.0362,0.0310,0.0310,448,13:21:57 CT 03 Feb 2021,2350.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.5124,-,-,0.0340,-0.0004,0.0344,0.0340,0.0340,5,10:32:56 CT 03 Feb 2021,2340.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.5461,-,-,0.0240,-0.0041,0.0281,0.0240,0.0290,34,13:19:33 CT 03 Feb 2021,2300.0,2021-05-01
18:30:11 CT 02 Feb 2021,0,-,-,0.3742,-,-,-,-,0.0229,-,-,1,13:05:53 CT 03 Feb 2021,2260.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.5898,-,-,0.0200,-0.0018,0.0218,0.0170,0.0200,"1,468",13:00:44 CT 03 Feb 2021,2250.0,2021-05-01
18:30:26 CT 02 Feb 2021,0,-,-,0.4218,-,-,0.0140,-0.0029,0.0169,0.0140,0.0150,29,13:21:44 CT 03 Feb 2021,2200.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.0052,-,-,-,-,1.8666,-,-,0,18:30:53 CT 02 Feb 2021,4450.0,2021-05-01
18:30:18 CT 02 Feb 2021,0,-,-,0.4724,-,-,-,-,0.0125,-,-,0,08:20:17 CT 03 Feb 2021,2140.0,2021-05-01
18:29:20 CT 02 Feb 2021,0,-,-,0.5077,-,-,0.0090,-0.0014,0.0104,0.0080,0.0090,168,13:24:32 CT 03 Feb 2021,2100.0,2021-05-01
18:30:29 CT 02 Feb 2021,0,-,-,0.5528,-,-,-,-,0.0085,-,-,0,08:20:17 CT 03 Feb 2021,2050.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.4252,-,-,0.0570,-0.0003,0.0573,0.0570,0.0570,74,11:42:59 CT 03 Feb 2021,2450.0,2021-05-01
18:31:28 CT 02 Feb 2021,0,-,-,0.5991,-,-,0.0060,-0.0010,0.007,0.0050,0.0060,"1,131",13:05:03 CT 03 Feb 2021,2000.0,2021-05-01
18:29:14 CT 02 Feb 2021,0,-,-,0.6944,-,-,-,-,0.0046,-,-,0,08:20:17 CT 03 Feb 2021,1900.0,2021-05-01
18:30:40 CT 02 Feb 2021,0,-,-,0.7428,-,-,-,-,0.0038,-,-,0,08:20:18 CT 03 Feb 2021,1850.0,2021-05-01
18:30:21 CT 02 Feb 2021,0,-,-,0.7914,-,-,0.0030,-0.0001,0.0031,0.0030,0.0030,16,13:24:32 CT 03 Feb 2021,1800.0,2021-05-01
18:30:48 CT 02 Feb 2021,0,-,-,0.8403,-,-,0.0010,-0.0015,0.0025,0.0010,0.0020,133,13:28:10 CT 03 Feb 2021,1750.0,2021-05-01
18:29:33 CT 02 Feb 2021,0,-,-,0.8894,-,-,0.0030,+0.0009,0.0021,0.0030,0.0030,5,09:02:33 CT 03 Feb 2021,1700.0,2021-05-01
18:31:15 CT 02 Feb 2021,0,-,-,0.9386,-,-,-,-,0.0017,-,-,0,08:20:18 CT 03 Feb 2021,1650.0,2021-05-01
18:31:09 CT 02 Feb 2021,0,-,-,0.9881,-,-,-,-,0.0014,-,-,0,08:20:17 CT 03 Feb 2021,1600.0,2021-05-01
18:29:44 CT 02 Feb 2021,0,-,-,1.0375,-,-,-,-,0.0012,-,-,0,08:20:17 CT 03 Feb 2021,1550.0,2021-05-01
18:30:54 CT 02 Feb 2021,0,-,-,1.0872,-,-,-,-,0.0009,-,-,0,08:20:17 CT 03 Feb 2021,1500.0,2021-05-01
18:29:34 CT 02 Feb 2021,0,-,-,1.1368,-,-,-,-,0.0007,-,-,0,08:20:17 CT 03 Feb 2021,1450.0,2021-05-01
18:29:36 CT 02 Feb 2021,0,-,-,1.1865,-,-,-,-,0.0005,-,-,0,08:20:17 CT 03 Feb 2021,1400.0,2021-05-01
18:31:12 CT 02 Feb 2021,0,-,-,0.6464,-,-,0.0040,-0.0017,0.0057,0.0040,0.0040,27,13:26:29 CT 03 Feb 2021,1950.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0049,-,-,-,-,1.9165,-,-,0,18:30:59 CT 02 Feb 2021,4500.0,2021-05-01
10:04:00 CT 03 Feb 2021,24,0.2010,0.1780,0.2108,-0.0328,0.1780,0.1920,-0.0008,0.1928,0.1920,0.1920,25,13:13:56 CT 03 Feb 2021,2800.0,2021-05-01
08:20:17 CT 03 Feb 2021,0,-,-,0.0044,-,-,-,-,2.0164,-,-,0,18:30:54 CT 02 Feb 2021,4600.0,2021-05-01
18:30:42 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,8.415,-,-,0,18:29:26 CT 02 Feb 2021,11000.0,2021-05-01
18:30:41 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,8.165,-,-,0,18:31:30 CT 02 Feb 2021,10750.0,2021-05-01
18:29:25 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,7.915,-,-,0,18:30:04 CT 02 Feb 2021,10500.0,2021-05-01
18:30:14 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,7.665,-,-,0,18:30:56 CT 02 Feb 2021,10250.0,2021-05-01
18:29:20 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,7.415,-,-,0,18:30:26 CT 02 Feb 2021,10000.0,2021-05-01
18:29:21 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,7.165,-,-,0,18:29:50 CT 02 Feb 2021,9750.0,2021-05-01
18:30:14 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,6.915,-,-,0,18:30:58 CT 02 Feb 2021,9500.0,2021-05-01
18:31:16 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,6.665,-,-,0,18:29:27 CT 02 Feb 2021,9250.0,2021-05-01
18:30:14 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,6.415,-,-,0,18:29:20 CT 02 Feb 2021,9000.0,2021-05-01
18:29:42 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,6.165,-,-,0,18:30:54 CT 02 Feb 2021,8750.0,2021-05-01
18:29:09 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.915,-,-,0,18:29:15 CT 02 Feb 2021,8500.0,2021-05-01
18:29:42 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,8.665,-,-,0,18:31:03 CT 02 Feb 2021,11250.0,2021-05-01
18:30:09 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.665,-,-,0,18:31:15 CT 02 Feb 2021,8250.0,2021-05-01
18:31:31 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.3651,-,-,0,18:30:32 CT 02 Feb 2021,7950.0,2021-05-01
18:29:46 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.3151,-,-,0,18:30:47 CT 02 Feb 2021,7900.0,2021-05-01
18:29:58 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.2651,-,-,0,18:29:28 CT 02 Feb 2021,7850.0,2021-05-01
18:29:24 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.2151,-,-,0,18:29:16 CT 02 Feb 2021,7800.0,2021-05-01
18:30:30 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.1651,-,-,0,18:31:23 CT 02 Feb 2021,7750.0,2021-05-01
18:29:51 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.1151,-,-,0,18:29:11 CT 02 Feb 2021,7700.0,2021-05-01
18:31:23 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.0651,-,-,0,18:29:10 CT 02 Feb 2021,7650.0,2021-05-01
18:30:56 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,5.0151,-,-,0,18:30:50 CT 02 Feb 2021,7600.0,2021-05-01
18:31:12 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,4.9651,-,-,0,18:29:28 CT 02 Feb 2021,7550.0,2021-05-01
18:31:16 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,4.9151,-,-,0,18:30:54 CT 02 Feb 2021,7500.0,2021-05-01
18:31:27 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,4.8651,-,-,0,18:30:42 CT 02 Feb 2021,7450.0,2021-05-01
08:20:18 CT 03 Feb 2021,0,-,-,0.0002,-,-,-,-,5.4151,-,-,0,18:30:21 CT 02 Feb 2021,8000.0,2021-05-01
18:30:54 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,4.8151,-,-,0,18:29:28 CT 02 Feb 2021,7400.0,2021-05-01
18:30:13 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,8.915,-,-,0,18:30:56 CT 02 Feb 2021,11500.0,2021-05-01
18:31:00 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,9.415,-,-,0,18:30:20 CT 02 Feb 2021,12000.0,2021-05-01
18:29:35 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,15.415,-,-,0,18:29:18 CT 02 Feb 2021,18000.0,2021-05-01
18:29:32 CT 02 Feb 2021,0,-,-,0.0014,-,-,-,-,1.9664,-,-,0,18:29:57 CT 02 Feb 2021,4550.0,2021-05-01
18:30:19 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,14.915,-,-,0,18:31:14 CT 02 Feb 2021,17500.0,2021-05-01
18:31:31 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,14.665,-,-,0,18:30:54 CT 02 Feb 2021,17250.0,2021-05-01
18:30:20 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,14.415,-,-,0,18:31:28 CT 02 Feb 2021,17000.0,2021-05-01
18:30:56 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,14.165,-,-,0,18:29:35 CT 02 Feb 2021,16750.0,2021-05-01
18:30:44 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,13.915,-,-,0,18:30:56 CT 02 Feb 2021,16500.0,2021-05-01
18:31:12 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,13.665,-,-,0,18:30:43 CT 02 Feb 2021,16250.0,2021-05-01
18:30:50 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,13.415,-,-,0,18:29:12 CT 02 Feb 2021,16000.0,2021-05-01
18:29:51 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,13.165,-,-,0,18:30:17 CT 02 Feb 2021,15750.0,2021-05-01
18:30:44 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,12.915,-,-,0,18:30:56 CT 02 Feb 2021,15500.0,2021-05-01
18:30:07 CT 02 Feb 2021,0,-,-,0.0001,-,-,-,-,9.165,-,-,0,18:30:54 CT 02 Feb 2021,11750.0,2021-05-01
